Cycle,Plane (x or y),Landmark 1 - 2,Landmark 2 - 3,Landmark 3 - 4,Landmark 4 - 5,Landmark 5 - 6,Landmark 6 - 7,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22
115,y,103,69,28,94,120,73,65,-239,135,80,69,-299,128,76,72,-316,85,55,57,-495
116,x,104,83,84,-255,40,21,17,-158,4,-1,0,-79,-6,-2,3,-65,-41,-28,-23,184
116,y,103,69,28,95,120,73,66,-241,136,80,70,-301,129,75,72,-315,85,55,57,-496
117,x,104,83,84,-255,40,22,17,-159,4,-2,0,-78,-7,-2,3,-64,-41,-28,-23,184
117,y,103,68,27,96,120,73,65,-239,135,80,69,-299,128,75,72,-315,85,55,57,-496
118,x,104,83,83,-255,41,22,16,-158,4,-2,0,-78,-7,-2,3,-64,-41,-29,-22,184
118,y,102,69,27,96,120,73,65,-239,135,80,69,-299,128,75,72,-315,85,55,57,-495
119,x,104,83,84,-256,41,21,17,-159,4,-1,0,-78,-7,-2,3,-64,-41,-29,-22,184
119,y,102,69,27,96,120,73,65,-239,135,80,68,-298,128,76,71,-314,84,56,57,-496
120,x,104,83,83,-255,41,21,16,-158,4,-1,0,-78,-7,-2,3,-64,-41,-28,-23,184
120,y,102,69,27,95,120,73,65,-239,135,80,68,-298,128,76,72,-315,84,56,57,-496
121,x,103,83,83,-254,41,21,16,-158,4,-1,0,-79,-6,-2,3,-65,-40,-29,-22,185
121,y,102,68,28,95,120,73,65,-239,135,80,68,-298,128,76,72,-315,84,56,57,-497
122,x,103,83,83,-255,41,21,16,-158,5,-1,0,-79,-7,-1,4,-66,-41,-28,-22,183
122,y,102,69,28,95,119,74,65,-240,135,80,68,-298,128,76,72,-315,85,55,57,-495
123,x,103,83,84,-256,41,20,16,-157,4,-1,0,-79,-6,-2,4,-66,-40,-28,-22,183
123,y,102,69,28,95,120,73,65,-239,134,80,68,-297,128,75,72,-315,85,55,57,-496
124,x,102,83,84,-255,40,21,15,-156,4,-1,0,-80,-6,-2,3,-65,-40,-28,-22,184
124,y,102,70,28,94,121,73,65,-240,135,80,68,-298,128,76,71,-315,85,55,57,-496
125,x,103,83,84,-255,40,21,16,-158,4,-1,1,-80,-7,-2,4,-65,-40,-28,-22,184
125,y,102,69,28,95,120,74,65,-241,135,80,69,-298,128,76,72,-316,85,55,58,-497
126,x,103,83,84,-256,41,21,16,-158,4,-2,1,-79,-7,-2,4,-65,-40,-28,-22,183
126,y,101,69,29,94,121,73,65,-240,135,80,69,-299,128,76,72,-315,84,55,57,-496
127,x,103,83,84,-255,40,22,16,-158,4,-2,1,-79,-7,-2,3,-64,-41,-28,-22,184
127,y,102,70,28,94,121,72,66,-240,135,80,68,-297,127,76,72,-315,84,56,57,-497
128,x,103,83,84,-256,41,21,16,-158,4,-1,0,-79,-6,-2,4,-66,-40,-28,-22,184
128,y,102,69,28,95,120,73,65,-239,134,80,68,-297,128,75,72,-314,84,55,57,-496
129,x,103,83,84,-256,41,21,16,-158,4,-1,0,-79,-7,-1,4,-66,-40,-28,-22,183
129,y,103,69,28,95,120,73,66,-240,134,79,68,-296,128,75,72,-314,84,55,56,-496
130,x,103,83,85,-256,40,21,17,-158,4,-2,1,-79,-7,-2,4,-65,-40,-29,-22,184
130,y,103,70,27,95,120,73,65,-239,134,79,68,-296,128,75,72,-314,84,55,56,-495
131,x,103,83,85,-256,40,21,17,-158,4,-2,0,-78,-7,-2,4,-65,-41,-28,-21,183
131,y,103,69,27,95,120,73,66,-240,134,79,68,-296,128,75,72,-314,84,55,56,-495
